csr_id,target,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F47,F48,F49,F50,F51,F52,F53,F54,F55,F56,F57,F58,F59,F60,F61,F62,F63,F64,F65,F66,F67,F68,F69,F70,F71,F72,F73,F74,F75,F76,F77,F78,F79,F80,F81,F82,F83,F84,F85,F86,F87,F88,F89,F90,F91,F92,F93,F94,F95,F96,F97,F98,F99,F100,F101,F102,F103,F104,F105,F106,F107,F108,F109,F110,F111,F112,F113,F114,F115,F116,F117,F118,F119,F120,F121,F122,F123,F124,F125,F126,F127,F128,F129,F130,F131,F132,F133,F134,F135,F136,F137,F138,F139,F140,F141,F142,F143,F144,F145,F146,F147,F148,F149,F150,F151,F152,F153,F154,F155,F156,F157,F158,F159,F160,F161,F162,F163,F164,F165,F166,F167,F168,F169,F170,F171,F172,F173,F174,F175,F176,F177,F178,F179,F180,F181,F182,F183,F184,F185,F186,F187,F188,F189,F190,F191,F192,F193,F194,F195,F196,F197,F198,F199,F200,F201,F202,F203,F204,F205,F206,F207,F208,F209,F210,F211,F212,F213,F214,F215,F216,F217,F218,F219,F220,F221,F222,F223,F224,F225,F226,F227,F228,F229,F230,F231,F232,F233,F234,F235,F236,F237,F238,F239,F240,F241,F242,F243,F244,F245,F246
8535,0,1,0,0,6,0,11,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,7,0,0,0,0,3,14,5,0,0,0,0,0,0,15,0,0,0,1,0,69,11,0,0,0,0,0,0,2,0,0,0,2,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,9,24,2,feiji,M,32,,,0,,无等级,0,0,0,0,45.554,45.554,0,0,0,643.409,643.409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,,,,,,,,,,,
7345,0,0,0,0,43,11,18,0,12,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,10,38,0,0,0,0,0,0,0,0,0,2,0,26,0,123,6,0,2,0,0,0,0,0,6,0,0,0,16,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,29,1,feiji,F,26,,,0,,无等级,0,0,0,0,-19.585,-19.585,0,0,0,213.233,213.233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,,,,,,,,,,,
8437,0,3,0,0,9,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,31,0,0,0,0,0,5,0,0,0,29,0,1,0,63,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0,3,44,2,tielu,F,36,,,0,,无等级,0,0.213,0,1.8,0,1.113,13.367,0,10.58,0,18.657,0,0,0,0,1800,0,1800,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,700,0,700,4310,500,4810,0,0,0,0,0,0,0,0,1,1,5,1,6,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2831.63,1,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
6166,0,16,0,0,50,23,10,0,16,0,0,0,0,0,1,0,0,0,0,0,0,1,2,3,0,2,0,20,25,4,0,0,0,0,3,7,1,2,1,0,25,21,158,0,0,28,0,0,0,0,1,4,0,1,1,40,20,0,0,7,1,0,1,0,0,0,1,6,0,0,48,117,2,quna,M,37,,0,0,,无等级,0,0.018,0,0,0,0.018,0.193,0,0,0,0.193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
9370,0,14,0,0,54,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,0,0,7,16,0,0,0,0,0,2,2,4,0,0,0,13,11,74,1,0,,0,0,0,0,0,0,0,0,0,26,0,0,2,6,0,0,0,0,2,0,0,2,0,0,7,36,1,lvyou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3684,0,4,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,2,xchen,F,48,,0,0,,无等级,0,0.051,0,0,-100.05,-99.999,0.385,0,0,1122.273,1122.658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
7044,0,0,0,0,22,3,10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,11,7,2,0,0,0,0,3,0,1,0,2,0,3,3,72,4,0,0,0,0,0,0,1,0,1,2,0,3,0,0,0,2,0,0,3,0,0,0,0,3,0,0,8,25,2,tielu,F,25,,1,0,,无等级,0,0.044,0,0,0,0.044,0.475,0,0,0,0.475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6968,0,12,0,4,7,1,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,8,12,0,0,0,0,0,1,28,0,0,31,0,4,2,170,7,0,,0,0,0,0,0,0,0,12,0,6,0,0,0,1,0,0,0,1,4,0,0,0,0,0,47,49,1,lvyou,M,51,,2,0,,无等级,0,0.24,0,0,0,0.24,2.626,0,0,0,2.626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
3118,0,13,0,1,25,8,5,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,0,0,0,13,36,0,0,0,0,0,0,0,1,0,0,14,56,4,96,0,0,,0,0,0,0,0,3,0,0,0,33,1,0,0,11,0,0,0,0,0,0,0,0,0,0,11,79,2,lvyou,M,31,,,0,,无等级,0,0,0,0,-23.72,-23.72,0,0,0,-35.597,-35.597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
4069,0,5,0,0,54,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,0,1,5,35,0,0,0,0,0,0,0,0,1,0,0,49,43,108,2,0,1,1,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,6,0,1,20,43,2,JIUDIAN,F,25,,1,0,,无等级,0,15.548,0,0,0,15.548,42.783,0,1,0,43.283,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1000,0,1000,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,420,4,11168,16,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,,,,,,,,,,,
9619,0,0,0,0,2,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,4,0,0,0,0,0,0,16,32,0,1,6,1,0,0,180,3,0,48,0,0,0,0,0,5,0,0,0,37,0,0,0,0,0,2,0,1,1,0,0,0,0,0,35,65,1,feiji,M,51,,,0,,无等级,0,0,0,0,0,0,268.911,0,0,0,268.911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
9898,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,3,7,0,0,39,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,2,quna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3880,0,0,0,0,1,0,18,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,24,0,0,0,0,0,0,0,0,0,0,0,1,0,108,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,90,1,feiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5920,0,12,0,0,12,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,4,0,3,0,6,8,0,,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,1,0,0,0,17,2,lvyou,F,22,,,0,,无等级,0,0.063,0,0,0,0.063,0.671,0,0,0,0.671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
2434,0,3,0,0,86,2,5,14,1,0,0,0,0,0,0,0,0,0,0,2,0,0,3,2,4,0,0,4,3,1,0,0,0,0,49,13,13,10,2,10,23,0,179,0,0,0,0,0,0,1,3,1,0,5,0,1,1,0,0,25,0,2,0,0,0,0,0,7,0,1,55,77,2,tielu,M,34,,0,0,,无等级,0,15.376,0,-9.02,0,10.866,101.097,0,300.62,0,251.407,7000,0,0,7000,1477.38,188,1665.38,0,40000,0,0,40000,8,4,0,0,4,6,2,8,0,1,0,0,0,1,4,12000,0,0,12000,5279.38,100188,105467.38,0,60000,0,0,60000,12,6,0,0,6,18,3,21,0,2,0,0,0,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,,,,,,,,,,,
